city,date,fare,ride_id
Lake Jonathanshire,1/14/2019 10:14,13.83,5739410000000
South Michelleport,3/4/2019 18:24,30.24,2343910000000
Port Samanthamouth,2/24/2019 4:29,33.44,2005070000000
Rodneyfort,2/10/2019 23:22,23.44,5149250000000
South Jack,3/6/2019 4:28,34.58,3908450000000
South Latoya,3/11/2019 12:26,9.52,1995000000000
New Paulville,2/27/2019 11:17,43.25,793208000000
Simpsonburgh,4/26/2019 0:43,35.98,111954000000
South Karenland,1/8/2019 3:28,35.09,7995620000000
North Jasmine,3/9/2019 6:26,42.81,5327640000000
New Kimberlyborough,2/7/2019 1:10,9.34,7992780000000
West Angela,1/12/2019 1:45,26.86,4820050000000
Rodneyfort,3/2/2019 18:03,44.26,2494060000000
West Angela,1/10/2019 12:17,12.74,2108720000000
Roberthaven,5/4/2019 14:48,25.66,1026200000000
North Jason,3/28/2019 22:28,9.19,7007020000000
Williamsview,1/3/2019 16:19,18.93,1979490000000
Leahton,2/26/2019 18:42,8.85,6966670000000
West Anthony,3/6/2019 2:27,10.02,9396760000000
New Kimberlyborough,4/25/2019 22:58,29.67,4823570000000
Roberthaven,2/24/2019 10:26,7.8,2180570000000
New Paulton,5/1/2019 3:12,8.28,8527100000000
West Patrickchester,3/19/2019 5:46,40.86,898889000000
Deanville,4/25/2019 3:29,41.52,6055930000000
West Josephberg,2/19/2019 16:22,36.39,3322130000000
West Samuelburgh,5/3/2019 14:33,41.12,7330840000000
West Heidi,3/14/2019 23:46,24.4,4908570000000
Loganberg,4/1/2019 1:06,8.23,678729000000
Huntermouth,2/10/2019 23:32,25.79,1880380000000
South Latoya,1/11/2019 18:44,27.41,8662300000000
New Paulville,3/18/2019 22:54,25.05,5031800000000
Grahamburgh,1/15/2019 11:44,40.69,307021000000
Port Frank,2/2/2019 14:14,41.47,6746610000000
East Kaylahaven,2/28/2019 4:13,25.96,3662520000000
Rodneyfort,2/3/2019 0:48,44.86,2325700000000
South Karenland,2/12/2019 6:52,36.01,4015930000000
West Robert,2/15/2019 4:21,12.28,1442500000000
North Markport,2/18/2019 8:17,38.09,925013000000
Williamsview,3/12/2019 6:47,8.35,1940440000000
Richardfort,2/24/2019 8:40,13.93,5628550000000
New Kimberlyborough,3/14/2019 16:47,27.9,6750800000000
Reynoldsfurt,3/25/2019 14:33,34.06,6604420000000
South Karenland,5/8/2019 2:31,41.33,5688920000000
Rodneyfort,4/25/2019 20:57,21.7,8534600000000
Justinberg,4/23/2019 8:59,14.65,9878230000000
West Josephberg,3/5/2019 3:27,12.91,102685000000
South Karenland,3/3/2019 14:48,37.3,4104000000000
Leahton,5/5/2019 10:34,17.05,5846590000000
Martinezhaven,3/19/2019 15:31,5.3,264338000000
North Jason,3/3/2019 2:13,28.02,2670550000000
Jerryton,3/3/2019 17:50,28.08,6003410000000
Lake Scottton,2/18/2019 9:22,25.02,3909340000000
South Evanton,2/14/2019 5:55,42.5,9953660000000
Rogerston,5/8/2019 1:54,32.69,1643410000000
West Samuelburgh,5/2/2019 13:55,38.77,2931690000000
West Ericstad,4/24/2019 3:20,7.31,4292480000000
New Paulville,3/10/2019 10:45,4.43,1213920000000
Hurleymouth,5/4/2019 21:50,21.44,4039660000000
West Samuelburgh,3/3/2019 3:17,25.17,1781750000000
Joneschester,3/1/2019 18:48,34.71,3343260000000
New Paulville,4/3/2019 7:51,32.7,9562560000000
Simpsonburgh,1/19/2019 23:06,15.83,233191000000
Port Angela,4/17/2019 6:23,16.34,7120530000000
West Ericstad,4/4/2019 13:03,28.52,6432850000000
New Kimberlyborough,3/16/2019 1:38,17.19,2770470000000
Joneschester,1/30/2019 17:41,36.78,1664030000000
North Markport,4/26/2019 4:45,44.37,1628420000000
Hurleymouth,3/22/2019 11:19,32.85,8449290000000
Barajasview,1/15/2019 2:59,19.52,8268110000000
Grahamburgh,4/6/2019 13:48,23.87,1468250000000
South Michelleport,3/2/2019 9:54,33.12,813844000000
Loganberg,1/7/2019 19:02,16.26,9045380000000
West Christopherberg,3/18/2019 17:14,12.64,1061090000000
Rogerston,2/23/2019 19:13,14.04,7647140000000
Huntermouth,2/24/2019 7:57,39.12,928039000000
New Jacobville,2/9/2019 2:17,7.11,3855050000000
Lake Jonathanshire,4/7/2019 20:51,31.25,4441250000000
Port David,3/17/2019 14:42,33.11,1025680000000
